   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 3- 3	 6- 7	 0- 0	     3210.94	Ej Spelad	1.00	 1
 3- 3	 6- 8	 0- 0	     6421.88	Ej Spelad	1.00	 1
 3- 3	 6- 9	 0- 0	     6421.88	Ej Spelad	1.00	 1
 3- 3	 7- 5	 0- 0	     2654.46	Ej Spelad	1.00	 1
 3- 3	 7- 6	 0- 0	     3096.88	Ej Spelad	1.00	 1
 3- 3	 7-10	 0- 0	     6421.88	Ej Spelad	1.00	 1
 3- 3	 8- 2	 0- 0	     3096.88	Ej Spelad	1.00	 1
 3- 3	 8- 3	 0- 0	     4645.31	Ej Spelad	1.00	 1
 3- 3	 8- 4	 0- 0	     3716.25	Ej Spelad	1.00	 1
 3- 3	 8- 5	 0- 0	     4645.31	Ej Spelad	1.00	 1
 3- 3	 8- 6	 0- 0	     9290.63	Ej Spelad	1.00	 1
 3- 3	 8- 7	 0- 0	     9290.63	Ej Spelad	1.00	 1
 3- 3	 9- 2	 0- 0	     4645.31	Ej Spelad	1.00	 1
 3- 3	 9- 5	 0- 0	     9290.63	Ej Spelad	1.00	 1
 3- 3	 9- 6	 0- 0	     6193.75	Ej Spelad	1.00	 1
 3- 3	10- 4	 0- 0	     4645.31	Ej Spelad	1.00	 1
 3- 3	10- 5	 0- 0	     6193.75	Ej Spelad	1.00	 1
 3- 3	10- 7	 0- 0	     6193.75	Ej Spelad	1.00	 1
 3- 4	 0- 3	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 4	 1- 4	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 4	 2- 7	 0- 0	     6120.60	Ej Spelad	1.00	 1
 3- 4	 2- 8	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 4	 3- 0	 0- 0	    10625.72	Ej Spelad	1.00	 1
 3- 4	 3- 7	 0- 0	     9180.90	Ej Spelad	1.00	 1
 3- 4	 3- 8	 0- 0	    12241.20	Ej Spelad	1.00	 1
 3- 4	 4- 7	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 4	 4- 8	 0- 0	    12241.20	Ej Spelad	1.00	 1
 3- 4	 4-10	 0- 0	    12241.20	Ej Spelad	1.00	 1
 3- 4	 5- 7	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 4	 5- 8	 0- 0	    12241.20	Ej Spelad	1.00	 1
 3- 4	 6- 7	 0- 0	     9180.90	Ej Spelad	1.00	 1
 3- 4	 7- 5	 0- 0	     7589.80	Ej Spelad	1.00	 1
 3- 4	 7- 6	 0- 0	     8854.77	Ej Spelad	1.00	 1
 3- 4	 8- 2	 0- 0	     8854.77	Ej Spelad	1.00	 1
 3- 4	 8- 3	 0- 0	    13282.15	Ej Spelad	1.00	 1
 3- 4	 8- 4	 0- 0	    10625.72	Ej Spelad	1.00	 1
 3- 4	 8- 5	 0- 0	    13282.15	Ej Spelad	1.00	 1
 3- 4	 9- 2	 0- 0	    13282.15	Ej Spelad	1.00	 1
 3- 4	10- 4	 0- 0	    13282.15	Ej Spelad	1.00	 1
 3- 5	 0- 2	 0- 0	    13220.50	Ej Spelad	1.00	 1
 3- 5	 0- 3	 0- 0	     5288.20	Ej Spelad	1.00	 1
 3- 5	 2- 7	 0- 0	     4406.83	Ej Spelad	1.00	 1
 3- 5	 2- 8	 0- 0	     5288.20	Ej Spelad	1.00	 1
 3- 5	 3- 0	 0- 0	     7650.52	Ej Spelad	1.00	 1
 3- 5	 3- 7	 0- 0	     6610.25	Ej Spelad	1.00	 1
 3- 5	 3- 8	 0- 0	     8813.67	Ej Spelad	1.00	 1
 3- 5	 4- 7	 0- 0	     5288.20	Ej Spelad	1.00	 1
 3- 5	 4- 8	 0- 0	     8813.67	Ej Spelad	1.00	 1
 3- 5	 4-10	 0- 0	     8813.67	Ej Spelad	1.00	 1
 3- 5	 5- 7	 0- 0	     5288.20	Ej Spelad	1.00	 1
 3- 5	 5- 8	 0- 0	     8813.67	Ej Spelad	1.00	 1
 3- 5	 5- 9	 0- 0	    13220.50	Ej Spelad	1.00	 1
 3- 5	 6- 7	 0- 0	     6610.25	Ej Spelad	1.00	 1
 3- 5	 6- 8	 0- 0	    13220.50	Ej Spelad	1.00	 1
 3- 5	 6- 9	 0- 0	    13220.50	Ej Spelad	1.00	 1
 3- 5	 7- 6	 0- 0	     6375.43	Ej Spelad	1.00	 1
 3- 5	 7-10	 0- 0	    13220.50	Ej Spelad	1.00	 1
 3- 5	 9- 2	 0- 0	     9563.15	Ej Spelad	1.00	 1
 3- 5	 9- 6	 0- 0	    12750.87	Ej Spelad	1.00	 1
 3- 5	10- 5	 0- 0	    12750.87	Ej Spelad	1.00	 1
 3- 5	10- 7	 0- 0	    12750.87	Ej Spelad	1.00	 1
 3- 6	 0- 3	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 6	 2- 7	 0- 0	     6120.60	Ej Spelad	1.00	 1
 3- 6	 2- 8	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 6	 3- 0	 0- 0	    10625.72	Ej Spelad	1.00	 1
 3- 6	 3- 7	 0- 0	     9180.90	Ej Spelad	1.00	 1
 3- 6	 3- 8	 0- 0	    12241.20	Ej Spelad	1.00	 1
 3- 6	 4- 7	 0- 0	     7344.72	Ej Spelad	1.00	 1
 3- 6	 4- 8	 0- 0	    12241.20	Ej Spelad	1.00	 1
